FacilityId,FacilityName,Province,District,SubDistrict,facility_type,ownership,latitude,longitude,address,ideal_clinic_score,ideal_clinic_category,email,contact_person,hprs_status,wbot_teams,momconnect,medicine_stock_mgmt,ccmdd_linked,registered_patients
439351,Acaciavale Clinic,KwaZulu-Natal Province,Uthukela District Municipality,Alfred Duma Local Municipality,Clinic,Gov Province,-28.5869,29.7963,"92 Centenary Road, Acaciavale, Ladysmith",87,Gold,,,Yes,,,,Yes,
425360,Adams Mission Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Gov Municipality,-30.0177,30.8178,Q. M. Nkukhu adams mission,82,Silver,NONE,,Yes,,,,Yes,
464851,Addington Gateway Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Gov Province,-29.865441,31.04355,Erskine TerraceSouth Beach Durban,52,Not achieved,Khumalo.khayi@kznhealth.gov.za,,Yes,,,,Yes,
269315,Haviland Memorial Clinic,KwaZulu-Natal Province,Uthukela District Municipality,Inkosi Langalibalele Local Municipality,Clinic,Gov Province,-28.845339,30.091922,160 Bell Street Weenen,74,Not achieved,,,Yes,,,,Yes,
285715,Altona Clinic,KwaZulu-Natal Province,Zululand District Municipality,uPhongolo Local Municipality,Clinic,Gov Province,-27.601667,31.418889,Altona Area,86,Gold,,,Yes,,,,Yes,
537615,Amakhabela Clinic,KwaZulu-Natal Province,Umzinyathi District Municipality,Umvoti Local Municipality,Clinic,Gov Province,-28.85421,30.85931,Amakhabela Greytown,83,Silver,,,Yes,,,,Yes,
671415,Amandlalathi Clinic,KwaZulu-Natal Province,iLembe District Municipality,Maphumulo Local Municipality,Clinic,Gov Province,-28.8776,30.9857,Next to Mandlalathi Store Kranskop,75,Silver,NONE,,Yes,,,,Yes,
156433,Amanzimtoti Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Gov Municipality,-30.0541,30.8806,3 road amanzimtoti,61,Not achieved,NONE,,Yes,,,,Yes,
182033,Amaoti Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Gov Province,-29.688,30.9794,D 403 Amaoti Phoenix,91,Platinum,phumzile.makhanya@kznhealth.gov.za,,Yes,,,,Yes,
228751,Amatimatolo Clinic,KwaZulu-Natal Province,Umzinyathi District Municipality,Umvoti Local Municipality,Clinic,Gov Province,-29.13943,30.82384,N/A Grey town,88,Gold,NONE,,Yes,,,,Yes,
483951,Amazizi Clinic,KwaZulu-Natal Province,Uthukela District Municipality,Okhahlamba Local Municipality,Clinic,Gov Province,-28.679839,29.044281,Anazizi rural area Bergville,87,Gold,,,Yes,,,,Yes,
673624,Appelsbosch Gateway Clinic,KwaZulu-Natal Province,uMgungundlovu District Municipality,uMshwathi Local Municipality,Clinic,Gov Province,-29.38985,30.8427,R44 Noorsberg street Ozwathini,89,Gold,thobekila.zondi@kznhealth.gov.za,,Yes,,,,Yes,
555660,Ashdown Clinic,KwaZulu-Natal Province,uMgungundlovu District Municipality,Msunduzi Local Municipality,Clinic,Gov Province,-29.63998,30.33187,83 Msimang Road Pietermaritzburg,93,Silver,lorraine.chetty@msunduzi.gov.za,,Yes,,,,Yes,
967742,Assisi Clinic,KwaZulu-Natal Province,Ugu District Municipality,Umzumbe Local Municipality,Clinic,Gov Province,-30.6064,30.3496,St Faith's Road Port Shepstone,76,Silver,,M.H Khumalo,Yes,,,,Yes,
558342,Athlone Park Hall Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Gov Municipality,-30.01767,30.92117,4 warner road amanzimtoti,76,Not achieved,hlophen@durbangov.za,,Yes,,,,Yes,
247033,Austerville Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Gov Municipality,-29.9405,30.9831,9 Clinic road Austerville,77,Silver,Ngobese.sindy@durban.gov.za,,Yes,,,,Yes,
458460,Azalea Clinic,KwaZulu-Natal Province,uMgungundlovu District Municipality,Msunduzi Local Municipality,Clinic,Gov Province,-29.68932,30.31865,Azalea sport complex Pietermaritzburg,91,Platinum,lorraine.chetty@msunduzi.gov.za,,Yes,,,,Yes,
527006,Adelaide Tambo Clinic,Gauteng Province,City of Tshwane Metropolitan Municipality,Tshwane 2 Health sub-District,Clinic,Gov Province,-25.58195,28.23326,STAND 30 FANIE VAN RENSBURG STREET PYRAMID PYRAMID,87,Gold,,,Yes,,,,Yes,
539033,Albertina Sisulu Clinic,Gauteng Province,Sedibeng District Municipality,Emfuleni Local Municipality,Clinic,Gov Municipality,-26.577,27.8486,14863 Zone 11 Sebokeng Vanderbijlpark,86,Gold,,,Yes,,,,Yes,
967842,Alberton North Clinic,Gauteng Province,Ekurhuleni Metropolitan Municipality,Ekurhuleni South 1 Health sub-District,Clinic,Gov Municipality,-26.2596,28.12863,Cnr 2nd Avenue and Hendrick PotgieterAlberton Nort,91,Gold,Martha.Dube@ekurhuleni.gov.za,,No,,,,No,
436251,Alexandra 8th Avenue Clinic,Gauteng Province,City of Johannesburg Metropolitan Municipality,Johannesburg E Health sub-District,Clinic,Gov Municipality,-26.1095,28.09588,Corner Rooseveldt and 8th Avenue Alexandra,69,Not achieved,,,Yes,,,,No,
784351,Alexandra CHC,Gauteng Province,City of Johannesburg Metropolitan Municipality,Johannesburg E Health sub-District,Community Health Centre,Gov Province,-26.1164,28.08844,33 Arkwright AvenueWynberg Bergvlei,59,Not achieved,labanem@alexclinic.org.za,,Yes,,,,Yes,
381815,Alexandra East Bank Clinic,Gauteng Province,City of Johannesburg Metropolitan Municipality,Johannesburg E Health sub-District,Clinic,Gov Municipality,-26.1067,28.10999,1119 Corner Springbok and Creset Impala Road Braml,83,Gold,wendyt@joburg.org.za,,Yes,,,,No,
633706,Alra Park Ext 3 Clinic,Gauteng Province,Ekurhuleni Metropolitan Municipality,Ekurhuleni East 2 Health sub-District,Clinic,Gov Municipality,-26.446,28.512746,"Cnr Sastri and Molopo Streets, Ext 3, Alra Park",89,Gold,,,No,,,,No,
374942,Andries Raditsela Clinic,Gauteng Province,Ekurhuleni Metropolitan Municipality,Ekurhuleni East 2 Health sub-District,Clinic,Gov Province,-26.3343,28.3887,1718 Phooko Drive Ext3 Langaville Langaville,89,Gold,admin.andries@vodamail.co.za,,Yes,,,,Yes,
926651,Atteridgeville Clinic,Gauteng Province,City of Tshwane Metropolitan Municipality,Tshwane 3 Health sub-District,Clinic,Gov Municipality,-25.76861,28.07841,"Ramohoeba Square, Cnr Mareka and Mokobane Streets",87,Gold,SylvienN@tshwane.gov.za,,Yes,,,,Yes,
964124,Azaadville Clinic,Gauteng Province,West Rand District Municipality,Mogale City Local Municipality,Clinic,Gov Province,-26.170697,27.758288,CNR Taj-Mahal and Azaad Avenue Azaadville,67,Not achieved,None,,Yes,,,,No,
513260,Ackerville Clinic,Mpumalanga Province,Nkangala District Municipality,Emalahleni Local Municipality,Clinic,Gov Province,-25.8668,29.1741,2100 VANDELEN STREET ARCCHAVILLE,77,Silver,NONE,,Yes,,,,Yes,
222606,Agincourt CHC,Mpumalanga Province,Ehlanzeni District Municipality,Bushbuckridge Local Municipality,Community Health Centre,Gov Province,-24.8195,31.261,P.O.Box1310,66,Not achieved,,,Yes,,,,Yes,
944806,Allemansdrift B Clinic,Mpumalanga Province,Nkangala District Municipality,Dr JS Moroka Local Municipality,Clinic,Gov Province,-25.1415,28.8646,Mbhongo Street Allemansdrift Allemansdrift,83,Silver,,,Yes,,,,Yes,
884624,Allemansdrift C CHC,Mpumalanga Province,Nkangala District Municipality,Dr JS Moroka Local Municipality,Community Health Centre,Gov Province,-25.1162,28.9051,837-38 Allemansdrift Allemansdrift C,73,Not achieved,,,Yes,,,,Yes,
383524,Amersfoort Clinic,Mpumalanga Province,Gert Sibande District Municipality,Dr Pixley Ka Isaka Seme Local Municipality,Clinic,Gov Province,-27.0059,29.8693,Bree Street Amersfoort Amersfoort,83,Silver,NONE,,Yes,,,,Yes,
323742,Amsterdam CHC,Mpumalanga Province,Gert Sibande District Municipality,Mkhondo Local Municipality,Community Health Centre,Gov Province,-26.6231,30.6619,Cnr Forbes and President Street Amsterdam Amsterda,81,Gold,mtshangase@gmail.com,,Yes,,,,Yes,
463160,Arnhemburg Clinic,Mpumalanga Province,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,Clinic,Gov Province,-26.04871,30.83788,Embhuleni Hospital Elukwatini,67,Not achieved,,Thembi Ngwenya,Yes,,,,Yes,
799751,Arthurseat Clinic,Mpumalanga Province,Ehlanzeni District Municipality,Bushbuckridge Local Municipality,Clinic,Gov Province,-24.6695,31.0204,Authurrseat village Mkhuhlu,74,Not achieved,,,Yes,,,,Yes,
627315,Arthurstone Clinic,Mpumalanga Province,Ehlanzeni District Municipality,Bushbuckridge Local Municipality,Clinic,Gov Province,-24.7859,31.1347,Buyisonto Mkhuhlu,55,Not achieved,,,Yes,,,,Yes,
730851,Afsondering Clinic,Eastern Cape Province,Alfred Nzo District Municipality,Matatiele Local Municipality,Clinic,Gov Province,-30.179,28.9487,Afsondering location Matatiele,80,Silver,NONE,Ms LL Mothapha,Yes,,,,Yes,
622242,Agnes Rest Clinic,Eastern Cape Province,Chris Hani District Municipality,Emalahleni Local Municipality,Clinic,Gov Province,-31.6973,27.03183,Mnggukhwebe Lady Frere,63,Not achieved,NONE,,Yes,,,,Yes,
776215,Alexandria Clinic,Eastern Cape Province,Sarah Baartman District Municipality,Ndlambe Local Municipality,Clinic,Gov Province,-33.65128,26.41422,1 Sending street Alexandria,57,Not achieved,NONE,,Yes,,,,Yes,
478433,Algoa Park Clinic,Eastern Cape Province,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,Clinic,Gov Province,-33.90119,25.56448,CNR Chudleigh an ST. Leornards street Algoa Park,88,Gold,lerina.magutywa@impilo.ecprov.gov.za,,Yes,,,,Yes,
632551,Aliwal North Block H Clinic,Eastern Cape Province,Joe Gqabi District Municipality,Walter Sisulu Local Municipality,Clinic,Gov Province,-30.69741,26.72446,NTSUENJANA STREET ALIWAL NORTH,53,Not achieved,NONE,,Yes,,,,Yes,
303542,All Saints Gateway Clinic,Eastern Cape Province,Chris Hani District Municipality,Engcobo Local Municipality,Clinic,Gov Province,-31.66185,28.0504,NGCOBO,61,Not achieved,NONE,0,Yes,,,,Yes,
677651,Alphendale Clinic,Eastern Cape Province,Buffalo City Metropolitan Municipality,Buffalo City Health sub-District,Clinic,Gov Province,-33.01347,27.84128,Alphen Road Alphendale,51,Not achieved,,,Yes,,,,Yes,
875933,Amabele Clinic,Eastern Cape Province,Amathole District Municipality,Amahlathi Local Municipality,Clinic,Gov Province,-32.6634,27.5239,Amabele Station Road Stutterheim,80,Silver,NONE,,Yes,,,,Yes,
898551,Amadiba Clinic,Eastern Cape Province,Alfred Nzo District Municipality,Mbizana Local Municipality,Clinic,Gov Province,-31.0731,30.179,UMGUNGUNDLOVU A/A BIZANA,83,Silver,,,Yes,,,,Yes,
556742,Amahleke Clinic,Eastern Cape Province,Buffalo City Metropolitan Municipality,Buffalo City Health sub-District,Clinic,Gov Province,-32.83379,27.22839,Thembisa Township Dimbaza,63,Not achieved,,,Yes,,,,Yes,
955151,Amandengane Clinic,Eastern Cape Province,Alfred Nzo District Municipality,Mbizana Local Municipality,Clinic,Gov Province,-31.0992,29.7506,CHITHWAYO LOCATION BIZANA,79,Silver,NONE,,No,,,,No,
678833,Amantshangase Clinic,Eastern Cape Province,Alfred Nzo District Municipality,Mbizana Local Municipality,Clinic,Gov Province,-30.8396,29.5879,Amatshangase A/A Bizana,83,Silver,,T.T. NTLANTI,Yes,,,,Yes,
952960,Amathole Basin Clinic,Eastern Cape Province,Amathole District Municipality,Raymond Mhlaba Local Municipality,Clinic,Gov Province,-32.696,26.9931,Middledrift,74,Not achieved,NONE,N.E. Yokwana,Yes,,,,Yes,
381642,Andrieskraal Clinic,Eastern Cape Province,Sarah Baartman District Municipality,Kouga Local Municipality,Clinic,Gov Province,-33.752585,24.81069,R 331 Patensie Humansdorp,62,Not achieved,,,Yes,,,,Yes,
404833,Anglo African Street Clinic,Eastern Cape Province,Sarah Baartman District Municipality,Makana Local Municipality,Clinic,Gov Province,-33.31179,26.52656,No. 3 Huntley Street Grahamstown,58,Not achieved,NONE,,Yes,,,,No,
515215,Askeaton Clinic,Eastern Cape Province,Chris Hani District Municipality,Sakhisizwe Local Municipality,Clinic,Gov Province,-31.6252,27.46074,Askeaton Location Cala,75,Silver,NONE,,Yes,,,,Yes,
862533,Aspiranza Clinic,Eastern Cape Province,Buffalo City Metropolitan Municipality,Buffalo City Health sub-District,Clinic,Gov Province,-33.01927,27.84977,Robert King Crescent Buffalo Flats,56,Not achieved,NONE,,Yes,,,,Yes,
479433,Assina Mandla Clinic,Eastern Cape Province,Amathole District Municipality,Raymond Mhlaba Local Municipality,Clinic,Gov Province,-32.7505,26.7941,Nuwabeni Location Alice,59,Not achieved,NONE,,Yes,,,,Yes,
897151,Albert Luthuli Memorial Clinic,Free State Province,Lejweleputswa District Municipality,Nala Local Municipality,Clinic,Gov Province,-27.8362,26.3668,Corner of Third andVoster street Wesselsbron,75,Silver,,,Yes,,,,Yes,
734833,Allanridge Clinic,Free State Province,Lejweleputswa District Municipality,Matjhabeng Local Municipality,Clinic,Gov Province,-27.7536,26.6448,4 Olifant sTreet Allanridge,61,Not achieved,,,Yes,,,,Yes,
853642,Kruger Clinic,Free State Province,Lejweleputswa District Municipality,Matjhabeng Local Municipality,Clinic,Gov Province,-27.8731,26.6853,203 Mark street Odendaalsrus,62,Not achieved,NONE,,Yes,,,,Yes,
488342,Ango Maseola (Marikana) Clinic,Free State Province,Fezile Dabi District Municipality,Moqhaka Local Municipality,Clinic,Gov Province,-27.653372,27.238222,SMOLDAEL ROAD,71,Not achieved,,MR M.E.LETDHOKGOHLA,Yes,,,,No,
782533,AfriSam Clinic,North West Province,Ngaka Modiri Molema District Municipality,Ditsobotla Local Municipality,Clinic,Gov Province,-26.19,26.16,Dudfield Farm Private bag 12051,57,Not achieved,,,Yes,,,,Yes,
665424,Agisanang Clinic,North West Province,Ngaka Modiri Molema District Municipality,Tswaing Local Municipality,Clinic,Gov Province,-26.5589,25.8234,212 Agisanang 2760,54,Not achieved,,,Yes,,,,Yes,
120824,Alabama Clinic,North West Province,Dr Kenneth Kaunda District Municipality,City of Matlosana Local Municipality,Clinic,Gov Province,-26.86403,26.57945,65 Alex street Alabama Alabama,78,Not achieved,NONE,,Yes,,,,Yes,
341351,Amalia Clinic,North West Province,Dr Ruth Segomotsi Mompati District Municipality,Mamusa Local Municipality,Clinic,Gov Province,-27.251786,25.032603,515 Thaga Street Amaila Amalia,97,Platinum,,,Yes,,,,Yes,
445351,Anna Legoale Clinic,North West Province,Bojanala Platinum District Municipality,Rustenburg Local Municipality,Clinic,Gov Province,-25.57,27.27,Nelson Mandela Drive Rustenburg,48,Not achieved,NONE,,Yes,,,,Yes,
360942,Atamelang CHC,North West Province,Ngaka Modiri Molema District Municipality,Tswaing Local Municipality,Community Health Centre,Gov Province,-26.503,25.3686,1st Av Atamelang Delareyville,82,Silver,pmoaneno@nwpg.gov.za,,Yes,,,,Yes,
858651,Austrey Clinic,North West Province,Dr Ruth Segomotsi Mompati District Municipality,Kagisano-Molopo Local Municipality,Clinic,Gov Province,-26.466801,24.181427,Austrey clinic next to Kgosi Thebe School Tlakgame,89,Gold,NONE,,Yes,,,,Yes,
211451,Aan-het-Pad Clinic,Western Cape Province,Cape Winelands District Municipality,Stellenbosch Local Municipality,Clinic,Gov Province,-33.9111,18.85523,Lang Street Cloetesville Stellenbosch,63,Not achieved,,,No,,,,No,
888524,Adriaanse Clinic,Western Cape Province,City of Cape Town Metropolitan Municipality,Tygerberg Health sub-District,Clinic,Gov Municipality,-33.938,18.58464,,91,Gold,,NULL,No,,,,No,
274224,Albertinia Clinic,Western Cape Province,Eden District Municipality,Hessequa Local Municipality,Clinic,Gov Province,-34.2047,21.58444,Station Road Albertina,83,Gold,vapeters@pgwc.co.za,,No,,,,No,
482624,Alphen Clinic,Western Cape Province,City of Cape Town Metropolitan Municipality,Cape Town Southern Health sub-District,Clinic,Gov Municipality,-34.019277,18.446126,Main Road,81,Silver,Christina.Rosslee@capetown.gov.za,Christina Rosslee,No,,,,No,
