FacilityId,Ou3uid,FacilityName,Province,District,SubDistrict,Ou2Code,Ou3Code
439351,thF0XvUHYib,kz Acaciavale Clinic,kz KwaZulu-Natal Province,kz Uthukela District Municipality,kz Alfred Duma Local Municipality,446311,353812
425360,z478S4lofBn,kz Adams Mission Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
464851,z478S4lofBn,kz Addington Gateway Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
269315,thF0XvUHYib,kz AE Haviland Memorial Clinic,kz KwaZulu-Natal Province,kz Uthukela District Municipality,kz Inkosi Langalibalele Local Municipality,446311,353812
285715,BRJK2K5mJIL,kz Altona Clinic,kz KwaZulu-Natal Province,kz Zululand District Municipality,kz uPhongolo Local Municipality,446311,272903
537615,KIRpUjJ7mEi,kz Amakhabela Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Umvoti Local Municipality,446311,433121
671415,NivY3BZqeLr,kz Amandlalathi Clinic,kz KwaZulu-Natal Province,kz iLembe District Municipality,kz Maphumulo Local Municipality,446311,585430
156433,z478S4lofBn,kz Amanzimtoti Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
182033,z478S4lofBn,kz Amaoti Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
228751,KIRpUjJ7mEi,kz Amatimatolo Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Umvoti Local Municipality,446311,433121
483951,thF0XvUHYib,kz Amazizi Clinic,kz KwaZulu-Natal Province,kz Uthukela District Municipality,kz Okhahlamba Local Municipality,446311,353812
673624,Zrt8CaZ4BkE,kz Appelsbosch Gateway Clinic,kz KwaZulu-Natal Province,kz uMgungundlovu District Municipality,kz uMshwathi Local Municipality,446311,575421
555660,Zrt8CaZ4BkE,kz Ashdown Clinic,kz KwaZulu-Natal Province,kz uMgungundlovu District Municipality,kz Msunduzi Local Municipality,446311,575421
967742,D2TQgzl3HzB,kz Assisi Clinic,kz KwaZulu-Natal Province,kz Ugu District Municipality,kz Umzumbe Local Municipality,446311,546212
558342,z478S4lofBn,kz Athlone Park Hall Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
247033,z478S4lofBn,kz Austerville Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
458460,Zrt8CaZ4BkE,kz Azalea Clinic,kz KwaZulu-Natal Province,kz uMgungundlovu District Municipality,kz Msunduzi Local Municipality,446311,575421
527006,mTGPVqDw39x,gp Adelaide Tambo Clinic,gp Gauteng Province,gp City of Tshwane Metropolitan Municipality,gp Tshwane 2 Health sub-District,333920,213103
539033,eb2pqCr6SPX,gp Albertina Sisulu Clinic,gp Gauteng Province,gp Sedibeng District Municipality,gp Emfuleni Local Municipality,333920,364303
967842,qTz6ZHmOPus,gp Alberton North Clinic,gp Gauteng Province,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni South 1 Health sub-District,333920,565703
436251,CT8lZ9vouCK,gp Alexandra 8th Avenue Clinic,gp Gauteng Province,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,333920,757012
784351,CT8lZ9vouCK,gp Alexandra CHC,gp Gauteng Province,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,333920,757012
381815,CT8lZ9vouCK,gp Alexandra East Bank Clinic,gp Gauteng Province,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,333920,757012
633706,qTz6ZHmOPus,gp Alra Park Ext 3 Clinic,gp Gauteng Province,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni East 2 Health sub-District,333920,565703
374942,qTz6ZHmOPus,gp Andries Raditsela Clinic,gp Gauteng Province,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni East 2 Health sub-District,333920,565703
