name,type,ownership,latitude,longitude,source
Aberdeen Hospital,District Hospital,MoH,-32.4862,24.0609,GPS
Aberdeen Satellite Clinic,Satellite Clinic,MoH,-32.4750,24.0520,GPS
AD Keet Clinic,Clinic,MoH,-34.0602,24.9183,GPS
Addo Clinic,Clinic,MoH,-33.5422,25.6908,GPS
Addo Enon Satellite Clinic,Satellite Clinic,MoH,-33.3946,25.5463,GPS
Adelaide Clinic,Clinic,MoH,-32.7071,26.2946,GPS
Adelaide Gateway Clinic,Clinic,MoH,-32.6999,26.2940,GPS
Adelaide Hospital,District Hospital,MoH,-32.7009,26.2943,GPS
Aeroville Clinic,Clinic,MoH,-32.7496,25.6035,GPS
Afsondering Clinic,Clinic,MoH,-30.1798,28.9481,GPS
Agnes Rest Clinic,Clinic,MoH,-31.6974,27.0313,GPS
Albany Road Clinic,Clinic,MoH,-33.1803,26.3212,GPS
Alexandria Clinic,Clinic,MoH,-33.6512,26.4142,GPS
Algoa Park Clinic,Clinic,MoH,-33.9011,25.5645,GPS
Alicedale Clinic,Clinic,MoH,-33.3173,26.0906,GPS
Aliwal North Block H Clinic,Clinic,MoH,-30.6883,26.6867,GPS
Aliwal North Hospital,District Hospital,MoH,-30.6969,26.7072,GPS
All Saints Gateway Clinic,Clinic,MoH,-31.6619,28.0504,GPS
All Saints Hospital,District Hospital,MoH,-31.6619,28.0504,GPS
Alphendale Clinic,Clinic,MoH,-33.0135,27.8413,GPS
Amabele Clinic,Clinic,MoH,-32.6633,27.5239,GPS
Amadiba Clinic,Clinic,MoH,-31.0731,30.1792,GPS
Amahleke Clinic,Clinic,MoH,-32.8337,27.2283,GPS
Amandengane Clinic,Clinic,MoH,-31.0861,29.7505,GPS
Amantshangase Clinic,Clinic,MoH,-30.8396,29.5877,GPS
Amathole Basin Clinic,Clinic,MoH,-32.6958,26.9930,GPS
Amatola TB Clinic,Clinic,MoH,-32.8900,27.3900,GPS
Andries Vosloo Hospital,District Hospital,MoH,-32.7218,25.5953,GPS
Andrieskraal Clinic,Clinic,MoH,-33.7465,24.6404,GPS
Anglo African Street Clinic,Clinic,MoH,-33.3100,26.5246,GPS
Asherville Clinic,Clinic,MoH,-32.2703,24.5556,GPS
Askeaton Clinic,Clinic,MoH,-31.6252,27.4607,GPS
Aspiranza Clinic,Clinic,MoH,-33.0191,27.8499,GPS
Assina Mandla Clinic,Clinic,MoH,-32.7504,26.7941,GPS
Bacclesfarm Clinic,Clinic,MoH,-32.0399,26.4565,GPS
Badi Clinic,Clinic,MoH,-32.2870,28.6627,GPS
Bala Clinic,Clinic,MoH,-30.9902,29.5369,GPS
Baleni Clinic,Clinic,MoH,-31.1591,29.9715,GPS
Balfour Clinic,Clinic,MoH,-32.5457,26.6821,GPS
Bambisana Gateway Clinic,Clinic,MoH,-31.4508,29.4546,GPS
Bambisana Hospital,District Hospital,MoH,-31.4501,29.4540,GPS
Banzi Clinic,Clinic,MoH,-32.1263,27.5198,GPS
Baroda Clinic,Clinic,MoH,-32.0021,25.5103,GPS
Bathurst Clinic,Clinic,MoH,-33.4937,26.8312,GPS
Baviaans Clinic,Clinic,MoH,-33.3246,24.3442,GPS
Baziya CHC,Community Health Centre,MoH,-31.6151,28.3837,GPS
Beacon Bay Clinic,Clinic,MoH,-32.9679,27.9384,GPS
Beatrice Ngwentle Clinic,Clinic,MoH,-32.7175,25.5915,GPS
Bedford Clinic,Clinic,MoH,-32.6793,26.0888,GPS
Bedford Hospital,District Hospital,MoH,-32.6762,26.0831,GPS
Beestekraal Clinic,Clinic,MoH,-31.5196,27.8097,GPS
Bengu Clinic Emalahleni,Clinic,MoH,-31.7927,27.3354,GPS
Bensonvale Clinic,Clinic,MoH,-30.5822,27.3566,GPS
Bergsig Clinic,Clinic,MoH,-33.3873,25.4497,GPS
Berlin Clinic,Clinic,MoH,-32.8839,27.5778,GPS
Bethania Clinic,Clinic,MoH,-30.6228,28.3330,GPS
Bezuidenhoutville Clinic,Clinic,MoH,-32.6880,26.2981,GPS
Bhele Clinic,Clinic,MoH,-33.2026,27.1827,GPS
Bhisho Gateway Clinic,Clinic,MoH,-32.8277,27.4551,GPS
Bhisho Hospital,District Hospital,MoH,-32.8277,27.4552,GPS
Bhisho Parliament Clinic,Clinic,MoH,-32.8639,27.4290,GPS
Bhongweni Clinic,Clinic,MoH,-32.7449,25.7983,GPS
Bilatye Clinic,Clinic,MoH,-31.9464,27.3651,GPS
Bityi Clinic,Clinic,MoH,-31.7942,28.5234,GPS
BJ Vorster  Hospital Kareedouw,District Hospital,MoH,-33.9515,24.2979,GPS
Bluegums Clinic,Clinic,MoH,-30.5475,27.2324,GPS
Bodweni Clinic,Clinic,MoH,-31.1850,29.5516,GPS
Bokleni Clinic,Clinic,MoH,-31.5946,28.1949,GPS
Bolotwa Clinic Confimvaba,Clinic,MoH,-31.5919,27.2009,GPS
Bolotwa Clinic Idutywa,Clinic,MoH,-31.9170,28.2921,GPS
Bomvana Clinic,Clinic,MoH,-32.1132,28.8016,GPS
Bomvini Clinic,Clinic,MoH,-31.4018,29.4724,GPS
Boomplaas Clinic,Clinic,MoH,-31.5129,27.1707,GPS
Booysens Park Clinic,Clinic,MoH,-33.8620,25.4587,GPS
Braelyn Clinic,Clinic,MoH,-32.9999,27.8793,GPS
Braelyn Extension Clinic,Clinic,MoH,-33.0040,27.8610,GPS
Breidbach Clinic,Clinic,MoH,-32.8881,27.4436,GPS
Brister House Clinic,Clinic,MoH,-33.9575,25.6187,GPS
Brug Straat Clinic Jansenville,Clinic,MoH,-32.9481,24.6656,GPS
Buchele Clinic,Clinic,MoH,-31.4956,29.6217,GPS
Bulembu Clinic,Clinic,MoH,-32.8734,27.2677,GPS
Buntingville Clinic,Clinic,MoH,-31.6338,28.8666,GPS
Burgersdorp Clinic,Clinic,MoH,-30.9948,26.3321,GPS
Burgersdorp Hospital,District Hospital,MoH,-30.9935,26.3140,GPS
Burnshill Clinic,Clinic,MoH,-32.7690,27.0551,GPS
Butterworth Gateway Clinic,Clinic,MoH,-32.3323,28.1388,GPS
Butterworth Hospital,District Hospital,MoH,-32.3323,28.1388,GPS
Caba Clinic,Clinic,MoH,-30.9363,28.7115,GPS
Caguba Clinic,Clinic,MoH,-31.6237,29.4494,GPS
Cala Hospital,District Hospital,MoH,-31.5223,27.6827,GPS
Cambridge Clinic,Clinic,MoH,-32.9779,27.8895,GPS
Cancele Clinic,Clinic,MoH,-30.8479,28.7890,GPS
Canzibe Gateway Clinic,Clinic,MoH,-31.8088,29.0658,GPS
Canzibe Hospital,District Hospital,MoH,-31.8088,29.0659,GPS
Cata Clinic,Clinic,MoH,-32.5948,27.1248,GPS
Cathcart Clinic,Clinic,MoH,-32.2983,27.1445,GPS
Cathcart Hospital,District Hospital,MoH,-32.2902,27.1369,GPS
CC Lloyd Clinic,Clinic,MoH,-32.7750,26.6336,GPS
