Institution Name,Type,Region,Province,Source
Bedford Hospital,District Hospital,Central,Eastern Cape,echealth.gov.za
Bhisho Hospital,District Hospital,Central,Eastern Cape,echealth.gov.za
Butterworth Hospital,District Hospital,Central,Eastern Cape,echealth.gov.za
Fort Beaufort Hospital,District Hospital,Central,Eastern Cape,echealth.gov.za
Grey Hospital,District Hospital,Central,Eastern Cape,echealth.gov.za
Madwaleni Hospital,District Hospital,Central,Eastern Cape,echealth.gov.za
Nompumelelo Hospital,District Hospital,Central,Eastern Cape,echealth.gov.za
SS Gida Hospital,District Hospital,Central,Eastern Cape,echealth.gov.za
Tafalofefe Hospital,District Hospital,Central,Eastern Cape,echealth.gov.za
Victoria Hospital,District Hospital,Central,Eastern Cape,echealth.gov.za
Frere Hospital,Tertiary Hospital,Central,Eastern Cape,echealth.gov.za
Cecelia Makiwane Hospital,Regional Hospital,Central,Eastern Cape,echealth.gov.za
Adelaide Hospital,Provincially Aided Hospital,Central,Eastern Cape,echealth.gov.za
Komga Hospital,Provincially Aided Hospital,Central,Eastern Cape,echealth.gov.za
New Haven Hospital,Provincially Aided Hospital,Central,Eastern Cape,echealth.gov.za
Stutterheim Hospital,Provincially Aided Hospital,Central,Eastern Cape,echealth.gov.za
