Facility Name,Address,Phone,Hours,Source
Alberton North Clinic,"Cnr Hendrik Potgieter & 2nd Ave, Alberton North",011 999-2263,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Alrapark Ext 3 Clinic,"Cnr Sasstri & Molopo St, Ext 3 Alra Park",011-9998210,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Bakerton Health Post,"1 Teabush Road, Bakerton",999 8643,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Barcelona Clinic,"22286 London City Drive, Barcelona Ext28",999-7609,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Bedfordview Clinic,"3 Skeen Boulevard, Bedfordview",999-0075,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Birchleigh Clinic,"Cnr Olienhout & Houtkapper St, Birchleigh",999-4190,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Birchleigh North Clinic,"Coen Scholtz Centre, Mooifontein Rd, Birchleigh North",999-4198,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Boksburg Civic Centre Clinic,"Cnr Trichardt & Commissioner Rd, Boksburg",999-5929,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Boksburg North Clinic,"Cason Road, Boksburg North",999-5541,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Bonaero Park Clinic,"Cnr Alder Grove & Louis Botha Ave, Bonaero Park",999-3508,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Brackenhurst Clinic,"Roy Campbell St, Brackenhurst, Alberton",011 999-1789,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Brakpan Civic Clinic,"Crn Escombe & Elliot St, Civic Centre, Brakpan",119997947,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Calcot Dlepu Clinic,"Stand 31128 Huhlwana St Ext 15, Tsakane",011 9998007,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Chief A Luthuli Clinic,"Cnr Harry Gwala & Mpshe St, Chief Luthuli Park",999-6954,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Crystal Park Clinic,"Stand 166, Strand St, Crystal Park, Benoni",999-6673,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Dan Kubheka Clinic,"701 Duduzile St, Kingsway, Benoni",999-6666,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Daveyton East Clinic,"Stand 869, Chris Hani Ext 9, Daveyton East",999 6928,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Daveyton Extension Clinic,"14108 Tom Boya St, Daveyton",999 6915,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Dawn Park Clinic & Dental,"Cnr Rondebult & Cossing St, Dawn Park",011 862-1008,"Mon-Fri 08:00-16:30, Sat 08:00-14:00",ekurhuleni.gov.za
Dresser Clinic,"2521 Everest, c/o Mokoena & Moepshe St, Thokoza",011 999-2850,"Mon-Fri 08:00-16:30, Sat 08:00-14:00",ekurhuleni.gov.za
Duduza Clinic & Dental,"3 Nala St, Duduza, Nigel",011-999-9099,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Dukathole Clinic,"Kiewietjie Rd, Tedstonville Ext 1",011 999-1662,"Mon-Fri 08:00-16:30, Sat 08:00-14:00",ekurhuleni.gov.za
Edenpark Clinic,"Cnr Abraham & Ferrari St, Edenpark",011 999-2114,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Edenvale Clinic & Dental,"Cnr 8th Avenue & De Wet Rd, Edenvale",999-2982,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Elsburg Clinic & Dental,"772 Ext, Cnr Els & Voortrekker St, Elsburg",011 999-1324,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Emaphupheni Clinic,"13625 Ext 10, Emaphupheni",999-6996,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Endayeni Clinic,"5 & 6 James Moleya St, Endayeni Section, Tembisa",999-4339,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Erin Clinic,"676 Tlama-Tlama Section, Tembisa",999-4349,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Ethafeni Clinic,"43 Bennin St, Ethafeni Section, Ethafeni Park",999-4381,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Geluksdal Clinic & Dental,"1 Uittog Ave, Geluksdal",999-7988,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Germiston City Clinic,"Cnr Queen & Cross St, Germiston",011 999-0567,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Greenfields Clinic,"Cnr Weeping Wattle & Wild Plum St, Stand 2396, Greenfields",011 999-2801,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Itireleng Clinic (Edenvale),"2959 Posmor & Inauguration Rd, Phomolong Section, Chloorkop Ext 52, Tembisa",999-4452,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Joy Clinic,"Erf 1343, Etwatwa West",999-7019,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Katlehong North Clinic,"2098 Kgotso St, Katlehong",011 999-1387,"Mon-Fri 08:00-16:30, Sat 08:00-14:00",ekurhuleni.gov.za
Kempton Park Civic Centre Clinic,"Civic Centre, c/o CR Swart & Pretoria Rd, Kempton Park",999-3887,Mon-Fri 08:00-16:30,ekurhuleni.gov.za
Kemston Clinic,"98 Kemston Ave, Benoni",999-6696,Mon-Fri 07:30-16:30,ekurhuleni.gov.za
