Facility Name,Address,Phone,Type,Hours,Source
Bertha Gxowa Hospital,"Corner Joubert & Angus Street, Germiston South 1401",+27 11 089 8500,Hospital,24/7,openalfa.com
Tembisa Hospital,"Flint Mazibuko Drive, Tembisa 1632",+27 11 923 2000,Hospital,24/7,openalfa.com
Thelle Mogoerane Regional Hospital,"Nguza Street 12390, Vosloorus 1486",+27 11 891 7000,Hospital,24/7,openalfa.com
Sunshine Hospital,"Soma Street 1522, Benoni 1501",+27 11 420 3000,Hospital,24/7,openalfa.com
Life The Glynnwood,"Harrison Street 33-35, Benoni 1500",+27 11 741 5000,Hospital,24/7,openalfa.com
Netcare Lakeview Hospital,"Mowbray Avenue 1, Benoni 1500",+27 11 019 2500,Hospital,24/7,openalfa.com
Linmed Hospital,"Hull Road 5, Benoni 1514",+27 11 748 6200,Hospital,24/7,openalfa.com
Lenmed Zamokuhle Private Hospital,"Flint Mazibuko Drive 128, Tembisa 1632",+27 87 087 0643,Hospital,24/7,openalfa.com
Sunward Park Hospital Netcare,"Kingfisher Avenue, Boksburg 1459",+27 11 897 1600,Hospital,24/7,openalfa.com
Daveyton Clinic,"Bhengu Street, Daveyton 1520",+27 11 424 3206,Clinic,Mon-Fri 08:00-15:00,openalfa.com
Daveyton East Clinic,"Reggie Street 869, Chris Hani, Benoni 1520",+27 11 999 6924,Clinic,Mon-Fri 07:30-16:30,openalfa.com
Northmead Clinic,"Corner Hospital & Aster Street, Benoni 1501",+27 11 425 0742,Clinic,Mon-Fri 07:30-16:30,openalfa.com
Endayeni Primary Health Care Clinic,"1st Street 11, Tembisa 1632",+27 11 999 4330,Clinic,,openalfa.com
Esangweni Community Health Centre,"Mpilo Street 219, Tembisa 1632",+27 11 925 6606,CHC,,openalfa.com
Ethafeni Clinic,"Benin Street 43, Tembisa 1632",+27 11 925 6222,Clinic,,openalfa.com
