Hospital Name,Location,Province,Source
Carletonville Hospital,Carletonville,Gauteng,blaauwberg.net
Charlotte Maxeke Johannesburg Academic Hospital,Parktown,Gauteng,blaauwberg.net
Chris Hani Baragwanath Hospital,Soweto,Gauteng,blaauwberg.net
Cullinan Care and Rehabilitation Centre,Cullinan,Gauteng,blaauwberg.net
Dr. George Mukhari Hospital,Ga-Rankuwa,Gauteng,blaauwberg.net
Dr. Yusuf Dadoo Hospital,Krugersdorp,Gauteng,blaauwberg.net
Edenvale General Hospital,Edenvale,Gauteng,blaauwberg.net
Far East Rand Hospital,Springs,Gauteng,blaauwberg.net
Germiston Bertha Gxowa Hospital,Germiston,Gauteng,blaauwberg.net
Heidelberg Hospital,Heidelberg,Gauteng,blaauwberg.net
Helen Joseph Hospital,"Auckland Park, Johannesburg",Gauteng,blaauwberg.net
Jubilee Hospital,Temba,Gauteng,blaauwberg.net
Kalafong Hospital,"Atteridgeville, Pretoria",Gauteng,blaauwberg.net
Kopanong Hospital (Vereeniging Hospital),Vereeniging,Gauteng,blaauwberg.net
Leratong Hospital,Krugersdorp,Gauteng,blaauwberg.net
Mamelodi Hospital,Mamelodi East,Gauteng,blaauwberg.net
Pholosong Hospital,"Tsakane, Brakpan",Gauteng,blaauwberg.net
Pretoria West Hospital,Pretoria,Gauteng,blaauwberg.net
Rahima Moosa Mother and Child Hospital,"Coronationville, Johannesburg",Gauteng,blaauwberg.net
Sebokeng Hospital,Sebokeng,Gauteng,blaauwberg.net
Sizwe Tropical Diseases Hospital,Edenvale,Gauteng,blaauwberg.net
South Rand Hospital,"Rosettenville, Johannesburg",Gauteng,blaauwberg.net
Sterkfontein Hospital,Krugersdorp,Gauteng,blaauwberg.net
Steve Biko Pretoria Academic Hospital,Pretoria,Gauteng,blaauwberg.net
Tambo Memorial Hospital,Boksburg,Gauteng,blaauwberg.net
Tara Hospital / The H Moross Centre,"Hurlingham, Sandton",Gauteng,blaauwberg.net
Tembisa Hospital,Olifantsfontein,Gauteng,blaauwberg.net
Thelle Mogoerane (Natalspruit) Hospital,Vosloorus,Gauteng,blaauwberg.net
Tshwane District Hospital,Pretoria,Gauteng,blaauwberg.net
Tshwane Rehabilitation Centre,Pretoria,Gauteng,blaauwberg.net
Weskoppies Hospital,Pretoria West,Gauteng,blaauwberg.net
