Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source
South Africa,Eastern Cape,Aberdeen Hospital,District Hospital,MoH,-32.4861999999999,24.0609,GPS
South Africa,Eastern Cape,Aberdeen Satellite Clinic,Satellite Clinic,MoH,-32.475,24.052,GPS
South Africa,Eastern Cape,AD Keet Clinic,Clinic,MoH,-34.0602,24.9182999999999,GPS
South Africa,Eastern Cape,Addo Clinic,Clinic,MoH,-33.5422,25.6907999999999,GPS
South Africa,Eastern Cape,Addo Enon Satellite Clinic,Satellite Clinic,MoH,-33.3945999999999,25.5462999999999,GPS
South Africa,Eastern Cape,Adelaide Clinic,Clinic,MoH,-32.7070999999999,26.2945999999999,GPS
South Africa,Eastern Cape,Adelaide Gateway Clinic,Clinic,MoH,-32.6999,26.294,GPS
South Africa,Eastern Cape,Adelaide Hospital,District Hospital,MoH,-32.7008999999999,26.2943,GPS
South Africa,Eastern Cape,Aeroville Clinic,Clinic,MoH,-32.7496,25.6035,GPS
South Africa,Eastern Cape,Afsondering Clinic,Clinic,MoH,-30.1798,28.9481,GPS
South Africa,Eastern Cape,Agnes Rest Clinic,Clinic,MoH,-31.6973999999999,27.0313,GPS
South Africa,Eastern Cape,Albany Road Clinic,Clinic,MoH,-33.1803,26.3212,GPS
South Africa,Eastern Cape,Alexandria Clinic,Clinic,MoH,-33.6512,26.4142,GPS
South Africa,Eastern Cape,Algoa Park Clinic,Clinic,MoH,-33.9011,25.5644999999999,GPS
South Africa,Eastern Cape,Alicedale Clinic,Clinic,MoH,-33.3173,26.0905999999999,GPS
South Africa,Eastern Cape,Aliwal North Block H Clinic,Clinic,MoH,-30.6883,26.6866999999999,GPS
South Africa,Eastern Cape,Aliwal North Hospital,District Hospital,MoH,-30.6968999999999,26.7072,GPS
South Africa,Eastern Cape,All Saints Gateway Clinic,Clinic,MoH,-31.6618999999999,28.0504,GPS
South Africa,Eastern Cape,All Saints Hospital,District Hospital,MoH,-31.6618999999999,28.0504,GPS
South Africa,Eastern Cape,Alphendale Clinic,Clinic,MoH,-33.0135,27.8413,GPS
South Africa,Eastern Cape,Amabele Clinic,Clinic,MoH,-32.6633,27.5239,GPS
South Africa,Eastern Cape,Amadiba Clinic,Clinic,MoH,-31.0731,30.1792,GPS
South Africa,Eastern Cape,Amahleke Clinic,Clinic,MoH,-32.8337,27.2283,GPS
South Africa,Eastern Cape,Amandengane Clinic,Clinic,MoH,-31.0860999999999,29.7504999999999,GPS
South Africa,Eastern Cape,Amantshangase Clinic,Clinic,MoH,-30.8396,29.5877,GPS
South Africa,Eastern Cape,Amathole Basin Clinic,Clinic,MoH,-32.6957999999999,26.9929999999999,GPS
South Africa,Eastern Cape,Amatola TB Clinic,Clinic,MoH,-32.89,27.39,GPS
South Africa,Eastern Cape,Andries Vosloo Hospital,District Hospital,MoH,-32.7218,25.5953,GPS
South Africa,Eastern Cape,Andrieskraal Clinic,Clinic,MoH,-33.7464999999999,24.6404,GPS
South Africa,Eastern Cape,Anglo African Street Clinic,Clinic,MoH,-33.31,26.5246,GPS
South Africa,Eastern Cape,Asherville Clinic,Clinic,MoH,-32.2702999999999,24.5555999999999,GPS
