Hospital Name,Location,Province,Source
Botlokwa Health Centre,Dwarsrivier,Limpopo,blaauwberg.net
Donald Fraser Hospital,Vhufuli,Limpopo,blaauwberg.net
Dr. C. N. Phatudi Hospital,Polokwane,Limpopo,blaauwberg.net
Elim Hospital,Makhado,Limpopo,blaauwberg.net
Ellisras Hospital,Lephalale,Limpopo,blaauwberg.net
Evuxakeni Psychiatric Hospital,Giyani,Limpopo,blaauwberg.net
F. H. Odendaal Hospital,Modimolle,Limpopo,blaauwberg.net
George Masebe Hospital,Mokopane,Limpopo,blaauwberg.net
Hayani Hospital,Thohoyandou,Limpopo,blaauwberg.net
Helena Franz Hospital,Bochum,Limpopo,blaauwberg.net
Kgapane Hospital,Modjadjiskloof,Limpopo,blaauwberg.net
Lebowakgomo Hospital,Chuenespoort,Limpopo,blaauwberg.net
Letaba Hospital,Letaba,Limpopo,blaauwberg.net
Louis Trichardt Memorial Hospital,Louis Trichardt,Limpopo,blaauwberg.net
Malamulele Hospital,Malamulele,Limpopo,blaauwberg.net
Maphutha L. Malatji Hospital,Phalaborwa,Limpopo,blaauwberg.net
Mecklenburg Hospital,Burgersfort,Limpopo,blaauwberg.net
Messina Hospital,Musina,Limpopo,blaauwberg.net
Mokopane Hospital,Mokopane,Limpopo,blaauwberg.net
Nkhensani Hospital,Giyani,Limpopo,blaauwberg.net
Polokwane Mankweng Hospital Complex,Mankweng/Polokwane,Limpopo,blaauwberg.net
Sekororo Hospital,Trichardt,Limpopo,blaauwberg.net
Seshego Hospital,Seshego,Limpopo,blaauwberg.net
Siloam Hospital,Nzhelele,Limpopo,blaauwberg.net
St. Ritas Hospital,Glen Cowie,Limpopo,blaauwberg.net
Thabamoopo Psychiatric Hospital,Lebowakgomo,Limpopo,blaauwberg.net
Thabazimbi Hospital,Thabazimbi,Limpopo,blaauwberg.net
Tshilidzini Hospital,Shayandima,Limpopo,blaauwberg.net
Van Velden Hospital,Tzaneen,Limpopo,blaauwberg.net
Voortrekker Hospital,Mokopane,Limpopo,blaauwberg.net
W. F. Knobel Hospital,Lonsdale,Limpopo,blaauwberg.net
Warmbaths Hospital,Warmbaths,Limpopo,blaauwberg.net
Witpoort Hospital,Lephalale,Limpopo,blaauwberg.net
Zebediela Hospital,Polokwane,Limpopo,blaauwberg.net
