Hospital Name,Location,Province,Source
Bloemhof Hospital,Bloemhof,North West,blaauwberg.net
Brits Hospital,Brits,North West,blaauwberg.net
Christiana Hospital,Christiana,North West,blaauwberg.net
Ganyesa Hospital,Kagisano Rural,North West,blaauwberg.net
General De la Rey Memorial Hospital,Lichtenburg,North West,blaauwberg.net
Klerksdorp Hospital,Klerksdorp,North West,blaauwberg.net
Koster Hospital,Koster,North West,blaauwberg.net
Lehurutshe Hospital,Lehurutshe,North West,blaauwberg.net
Mafikeng/Bophelong Hospital Complex,Mafikeng,North West,blaauwberg.net
Nic Bodenstein Hospital,Wolmaranstad,North West,blaauwberg.net
O D I Community Hospital,Mabopane,North West,blaauwberg.net
Potchefstroom Hospital,Potchefstroom,North West,blaauwberg.net
Rustenburg Hospital,Rustenburg,North West,blaauwberg.net
Schweizer-Reneke Hospital,Schweizer-Reneke,North West,blaauwberg.net
Swartruggens Hospital,Swartruggens,North West,blaauwberg.net
Taung Hospital,Taung,North West,blaauwberg.net
Thusong Hospital,Itsoseng,North West,blaauwberg.net
Tshepong Hospital,Klerksdorp,North West,blaauwberg.net
Ventersdorp Hospital,Ventersdorp,North West,blaauwberg.net
Vryburg Hospital,Vryburg,North West,blaauwberg.net
Witrand Hospital,Potchefstroom,North West,blaauwberg.net
Zeerust Hospital,Zeerust,North West,blaauwberg.net
