Hospital Name,Location,Province,Source
Abraham Esau Hospital,Calvinia,Northern Cape,blaauwberg.net
Barkly West Hospital,Barkly West,Northern Cape,blaauwberg.net
Central Karoo Hospital,De Aar,Northern Cape,blaauwberg.net
Gordonia Hospital,Upington,Northern Cape,blaauwberg.net
Hartswater Hospital,Hartswater,Northern Cape,blaauwberg.net
Hester Malan Hospital,Douglas,Northern Cape,blaauwberg.net
Jan Kempdorp Hospital,Jan Kempdorp,Northern Cape,blaauwberg.net
Kakamas Hospital,Kakamas,Northern Cape,blaauwberg.net
Keimoes Hospital,Keimoes,Northern Cape,blaauwberg.net
Kimberley Hospital Complex,Kimberley,Northern Cape,blaauwberg.net
Kuruman Hospital,Kuruman,Northern Cape,blaauwberg.net
Manne Dipico Hospital,Colesberg,Northern Cape,blaauwberg.net
Postmasburg Hospital,Postmasburg,Northern Cape,blaauwberg.net
Prieska Hospital (Bill Pickard Hospital),Prieska,Northern Cape,blaauwberg.net
Springbok Hospital,Springbok,Northern Cape,blaauwberg.net
Tshwaragano Hospital,Batlharos,Northern Cape,blaauwberg.net
