Hospital Name,Location,Type,Province,Source
Groote Schuur Hospital,Cape Town,Tertiary/Academic Hospital,Western Cape,blaauwberg.net
Karl Bremer Hospital,Cape Town,Regional Hospital,Western Cape,blaauwberg.net
Tygerberg Hospital,Cape Town,Tertiary/Academic Hospital,Western Cape,blaauwberg.net
Helderberg Hospital,Somerset West,District Hospital,Western Cape,blaauwberg.net
False Bay Hospital,Fish Hoek,District Hospital,Western Cape,blaauwberg.net
Eerste River Hospital,Eerste River,District Hospital,Western Cape,blaauwberg.net
Paarl Hospital,Paarl,Regional Hospital,Western Cape,blaauwberg.net
Stellenbosch Provincial Hospital,Stellenbosch,District Hospital,Western Cape,blaauwberg.net
Worcester Hospital,Worcester,Regional Hospital,Western Cape,blaauwberg.net
George Hospital,George,Regional Hospital,Western Cape,blaauwberg.net
Knysna Hospital,Knysna,District Hospital,Western Cape,blaauwberg.net
Mossel Bay Hospital,Mossel Bay,District Hospital,Western Cape,blaauwberg.net
Alexandra Psychiatric Hospital,Cape Town,Psychiatric Hospital,Western Cape,blaauwberg.net
Lentegeur Psychiatric Hospital,Mitchells Plain,Psychiatric Hospital,Western Cape,blaauwberg.net
Stikland Psychiatric Hospital,Bellville,Psychiatric Hospital,Western Cape,blaauwberg.net
Valkenberg Psychiatric Hospital,Cape Town,Psychiatric Hospital,Western Cape,blaauwberg.net
Mowbray Maternity Hospital,Mowbray,Maternity Hospital,Western Cape,blaauwberg.net
Red Cross War Memorial Children's Hospital,Cape Town,Children's Hospital,Western Cape,blaauwberg.net
Brooklyn Chest Hospital,Cape Town,Chest Hospital,Western Cape,blaauwberg.net
Brewelskloof Hospital,Breede Valley,TB Hospital,Western Cape,blaauwberg.net
