@id,@type,name,amenity,healthcare,addr:city,addr:street,addr:postcode,phone,website,@lat,@lon
28234904,node,Van Heerden,pharmacy,pharmacy,,,,,,-25.7659723,28.2981973
29096036,node,Bougainville Hospital,hospital,hospital,Pretoria,Redelinghuys Street,0030,+27 12 377 5700,http://www.netcarehospitals.co.za/Hospital/Netcare-Bougainville-Hospital,-25.7175315,28.1537079
50159939,node,Claremont Hospital,hospital,hospital,,,,,,-33.9866104,18.4665444
60482323,node,UCT Private Academic Hospital,hospital,hospital,Cape Town,Anzio Road,7925,,,-33.9420540,18.4633143
60696607,node,Clicks,pharmacy,pharmacy,,,,+27 21 7821101,,-34.1395998,18.4302702
210124444,node,Kloof Pharmacy,pharmacy,pharmacy,,,,,,-29.7923434,30.8328981
242958852,node,Mays Chemist,pharmacy,pharmacy,,Main Road,,,,-26.1767172,28.0008288
245937659,node,Dis-Chem Olympus,pharmacy,pharmacy,Pretoria,Haymeadow Crescent,0001,,,-25.7960781,28.3226275
252702618,node,Vitacare Pharmacy,pharmacy,,,,,,,-33.8741581,18.5787044
252955487,node,,pharmacy,,,,,,,-26.1469631,28.0121093
265368652,node,Link,pharmacy,,,,,,,-26.1506444,27.9443413
285957636,node,Dischem,pharmacy,,,,,,,-26.0514836,28.0928879
286987178,node,Groenkloof Dentist,dentist,dentist,Pretoria,George Storrar Drive,0181,,,-25.7722800,28.2149499
286987191,node,,pharmacy,pharmacy,,,,,,-25.7724200,28.2152700
286987360,node,,dentist,dentist,,,,,,-25.7723900,28.2166600
286987408,node,Clicks,pharmacy,pharmacy,Pretoria,Veale Street,0011,,,-25.7728992,28.2337821
287319174,node,Rayton Public Clinic,clinic,clinic,Rayton,Montrose Street,1001,+27 12 734 4274,,-25.7389900,28.5319100
288565838,node,Clicks,pharmacy,pharmacy,Pretoria,"Lois Avenue, Menlyn Retail Park",0161,,,-25.7876500,28.2766300
289690615,node,Clicks,pharmacy,,,,,,,-25.7887300,28.3079500
290403138,node,Clicks,pharmacy,pharmacy,,,,,,-25.7443118,28.2939476
290403144,node,,dentist,,,,,,,-25.7410900,28.2977400
290406178,node,Dis-Chem,pharmacy,pharmacy,Pretoria,Alkantrant Road,0081,,,-25.7657197,28.2814792
290718989,node,Link,pharmacy,,,,,,,-25.7842400,28.2911900
290719097,node,Nagel,dentist,dentist,,,,,,-25.7950010,28.2812976
290719301,node,Link,pharmacy,pharmacy,,,,,,-25.7944945,28.2702995
290719350,node,,dentist,,,,,,,-25.8127100,28.2690900
290719357,node,De Kock,dentist,,,,,,,-25.8053000,28.2716000
290719407,node,Link,pharmacy,,,,,,,-25.8174497,28.2694731
290719466,node,,dentist,,,,,,,-25.8176000,28.2677400
291445920,node,,dentist,dentist,,,,,,-26.0625500,27.9025800
292278082,node,,dentist,,,,,,,-25.7548700,28.3254100
292280750,node,Life,dentist,dentist,,,,,,-25.7663900,28.3583200
292280938,node,Clicks,pharmacy,pharmacy,Pretoria,"Von Backstrom Boulevard, Silver Oaks Crossing",0054,,,-25.7659200,28.3596300
292281180,node,Dischem,pharmacy,pharmacy,,,,,,-25.7847700,28.3542400
292558591,node,Medi-Send,pharmacy,,,,,,,-25.7780093,28.2836141
292558722,node,Ringpharm,pharmacy,,,,,,,-25.7676300,28.2670000
292558884,node,Hope,pharmacy,,,,,,,-25.7702100,28.2580899
292559048,node,,pharmacy,,,,,,,-25.7705400,28.2576190
292559257,node,Dis-Chem,pharmacy,pharmacy,Pretoria,Lynnwood Road,0181,,,-25.7591795,28.2432560
292559517,node,Dr Annette Preis,dentist,dentist,,,,+27 12 362 7180,,-25.7512290,28.2356279
292560342,node,Crest,pharmacy,pharmacy,Pretoria,Jan Shoba Street,0028,,,-25.7527707,28.2406649
293714877,node,Minné,dentist,dentist,,,,,,-25.7964000,28.3220700
293714908,node,Suter,dentist,,,,,,,-25.7747307,28.3359987
293714994,node,,dentist,,,,,,,-25.7845200,28.3173100
294145073,node,Paragon,pharmacy,clinic;pharmacy,Pretoria,Johnston Street,0132,,,-25.7575100,28.2135699
294145120,node,,pharmacy,pharmacy,,,,,,-25.7521800,28.2036300
294145149,node,Clicks,pharmacy,pharmacy,Pretoria,Greef Street,0002,+27 12 440 2380,https://clicks.co.za,-25.7509000,28.2032200
294145154,node,Intermed,dentist,dentist,Pretoria,Robert Sobukwe Street,,,,-25.7520900,28.2040900
294145225,node,Pharma Value,pharmacy,pharmacy,,,,,,-25.7530867,28.2072818
294780285,node,Alpha Pharm,pharmacy,pharmacy,,,,,,-26.1149800,28.0222600
296232026,node,Pharmacross,pharmacy,pharmacy,,,,,,-25.8031564,28.2871614
296434700,node,Glyn,pharmacy,alternative;pharmacy,Pretoria,Thomson Street,1166,,,-25.7416801,28.2420800
296434809,node,Pharma Value,pharmacy,pharmacy,,,,,,-25.7323800,28.2439999
296434942,node,Totiusdal Pharmacy,pharmacy,,,,,,,-25.7029796,28.2426045
296435033,node,Dischem,pharmacy,pharmacy,,,,,,-25.7036493,28.2413129
296435300,node,,dentist,,,,,,,-25.7049100,28.2402700
296435401,node,Tandarts,dentist,dentist,Pretoria,Nico Smith Street,0002,,,-25.7183500,28.2309099
296498114,node,Maymed,pharmacy,pharmacy,Pretoria,Frederika Street,0184,,,-25.7186367,28.2068134
296498408,node,Oral and Dental Hospital.,dentist,dentist,Pretoria,Steve Biko Road,0084,,,-25.7107632,28.2010501
296498986,node,Tshwane District Hospital,hospital,dentist;doctor;hospital;pharmacy,Pretoria,Doctor Savage Road,0084,,,-25.7327472,28.2006570
296944667,node,,dentist,dentist,,,,,,-25.7457400,28.1946800
296944855,node,Libertas,pharmacy,pharmacy,,,,,,-25.7452149,28.1930559
296945308,node,Forum,pharmacy,pharmacy,,,,,,-25.7484700,28.1987200
