___id___,category,companyname,dateissued,email,expirydate,faxnumber,licenceno,phonenumber,postaladdress,province,residentialaddress,responsiblepharmacist,responsiblepharmacistsection36exemption,type_of_licence_and_authorised_site_activity,typeoflicenceandauthorisedsiteactivity
254208,API_Manufacturers,BBI Enzymes SA (Pty) Limited t/a BBI Solutions,28/08/2025,SabineGuerra@bbisolutions.com,28/08/2030,,0000001327.-.4,2721 534 4531,19 Packer Avenue. Epping 2. Cape Town. Western Cape. 7460,,19 Packer Avenue. Epping 2. Cape Town. Western Cape. 7460,,Sabine Guerra,,Manufacture &amp; Export
254209,API_Manufacturers,Cilo Cybin Pharmaceutical (Pty) Ltd,2021/10/04,gabriel@cilocybin.com,2026/10/04,,00000001398.-.2,073 509 2104,Unit C1. The Point Business Park. 7 Sterling Avenue. Kosmosdal. Ext 12. Samrand,,Unit C1. The Point Business Park. 7 Sterling Avenue. Kosmosdal. Ext 12. Samrand,,Elandi Styger,,Manufacture &amp; Export
254210,API_Manufacturers,Fine Chemicals Corporation (Pty) Ltd,2022/10/27,hmentor@aspenpharma.com and imatthew@aspenpharma.com ,2027/10/27,,0000001429.-.2,021 530 8100 and 083 399 1214,15 Hawkins Avenue. Epping 1. Cape Town. Western Cape. 7475,,15 Hawkins Avenue. Epping 1. Cape Town. Western Cape. 7475,,Ilona Matthew,,Manufacture &amp; Export
254211,API_Manufacturers,Geo Greenhealth (Pty) Ltd,2022/06/06,ceo@geogreenhealth.co.za,2027/06/06,,0000001416.-.1,018 011 2426 or 072 342 7017,203 Ian Street. Wilkoppies. Klerksdorp. 2571,,203 Ian Street. Wilkoppies. Klerksdorp. 2571,,Andries Jacobus van der Walt,,Manufacture &amp; Export
254212,API_Manufacturers,Green Engineering Solutions (Pty) Ltd.,04/11/2021, corne@geslabs.com ,04/11/2026,,0000001401.-.3,27211803097 and 084 432 6305,Unit 1. 121 Capricorn Drive. Capricorn Business and Technology Park. Muizenberg. Cape Town. Western Cape. 7948,,Unit 1. 121 Capricorn Drive. Capricorn Business and Technology Park. Muizenberg. Cape Town. Western Cape. 7948,,Johann Corné Carstens,,Manufacture. Import. Export &amp; Testing Lab
254213,API_Manufacturers,LACSA (Pty) Ltd,2022/06/07,rrogan@illovo.co.za or fcassim@illovo.co.za,2027/06/07,,0000001417.-.2,031 450 7724 or 084 962 5276 or 082 8303 040,72 Ballantrae Road. Merebank. Durban. KwaZulu-Natal. 3201,,72 Ballantrae Road. Merebank. Durban. KwaZulu-Nata. 3201,,Fadhil Cassim,,Manufacture &amp; Export
254214,API_Manufacturers,NTP Radioisotopes SOC Ltd – Building P2100 Lu-177 n.c.a,2022/10/17,thabot@ntp.co.za and Lesedi@ntp.co.za ,2027/10/17,,0000001427.-.1,082 8060 049 and 083 631 0698,Elias Motsoaledi Street Extension (Church Street West). R104 Pelindaba. Brits Magisterial District. Madibeng Municipality. North West Province. Pelindaba. 0240,,Elias Motsoaledi Street Extension (Church Street West). R104 Pelindaba. Brits Magisterial District. Madibeng Municipality. North West Province. Pelindaba. 0240,,Veyash Kanhai,,Manufacture &amp; Export
254215,API_Manufacturers,NTP Radioisotopes SOC Ltd – P1700 &amp; P1701 Mo-99 and I-131 Manufacture,23/07/2025,thabo.tselane@ntp.co.za,23/07/2030,,0000001356.-.2,012 305 4471 or 082 806 0049,Elias Motsoaledi Street Extension (Church Street West). R104 Pelindaba Brits Magisterial District. Madibeng Municipality. North West Province. 0240,,Elias Motsoaledi Street Extension (Church Street West). R104 Pelindaba Brits Magisterial District. Madibeng Municipality. North West Province. 0240,,Zaahirah Suliman,,Manufacture &amp; Export
254206,Bond_Stores,DSV Solutions (Pty) Ltd - Bond Store,06/12/2021,Lizwi.mthethwa@za.dsv.com,06/12/2026,,BW 0003.-.5,010 248 0000 and 010 248 0215,Unit B. 1 Meadowview Lane. Meadowview Business Estate. Meadowview. Sandton. Gauteng. 2093,,Unit B. 1 Meadowview Lane. Meadowview Business Estate. Meadowview. Sandton. Gauteng. 2093,Lizwi Mthethwa,,,Bonded Warehouse for Transmission of Unregistered Medicines through the Republic
254207,Bond_Stores,Imperial Logistics South Africa Group (Pty) Ltd t/a DP World Healthcare Logistics – Bonded Warehouse(Formerly RTT Medical),09/06/2023,Vanessa.theron@dpworld.com,09/06/2028,,0000001445.-.2,27 126 214 300,Unit D. 57 Sarel Baard Crescent. Gateway Industrial Park. Rooihuiskraal. Centurion. Gauteng. 1057,,Unit D. 57 Sarel Baard Crescent. Gateway Industrial Park. Rooihuiskraal. Centurion. Gauteng. 1057,Sifiso Bongani Nkosi,,,Bonded Warehouse for Transmission of  Unregistered Medicines through the Republic
