name,type,group,province,city,address,latitude,longitude,beds,practiceNumber,switchhouse,phone,source
Baziya CHC,chc,Public,EC,,Baziya Mission,-31.6151,28.3837,,,,,who_mfl
Dimbaza CHC,chc,Public,EC,East London,Dimbaza Central,-32.8352,27.2139,,,,,who_mfl
Duncan Village CHC,chc,Public,EC,East London,Plumbayo Road,-33.0078,27.886,,,,+27 43 742 4762,who_mfl
Empilweni Gompo CHC,chc,Public,EC,East London,"1 Dunoon Road, Buffalo Flats",-33.0145,27.8489,,,,,who_mfl
Gqebera CHC,chc,Public,EC,Port Elizabeth,Vuyo Street,-33.9861,25.5889,,,,,who_mfl
Graaff-Reinet Day Hospital,chc,Public,EC,,Bree Street,-32.2728,24.5524,,,,,who_mfl
Idutywa Village CHC,chc,Public,EC,,R408 Way To Willovale,-32.097,28.2991,,,,,who_mfl
Kuyasa CHC,chc,Public,EC,,"High Street, Cofimvaba",-32.0071,27.5825,,,,,who_mfl
Kwazakhele CHC,chc,Public,EC,Port Elizabeth,Mavuso Road,-33.8775,25.5861,,,,,who_mfl
Laetitia Bam CHC,chc,Public,EC,Port Elizabeth,Matanzima Road,-33.808,25.3983,,,,,who_mfl
Mbekweni CHC,chc,Public,EC,,Ngqwalo Area,-31.7201,28.6865,,,,,who_mfl
Middledrift CHC,chc,Public,EC,,Cnr Bokwe and Mhlambiso Street,-32.8135,26.9883,,,,,who_mfl
Motherwell CHC,chc,Public,EC,Port Elizabeth,Tyinira Road,-33.8118,25.5979,,,,,who_mfl
Motherwell Community Health Centre,chc,Public,EC,Gqeberha,"Motherwell, Gqeberha, 6211",-33.831,25.671,,,,,curated
Mount Coke CHC,chc,Public,EC,East London,Mt Coke Village,-32.9804,27.4425,,,,,who_mfl
Mqanduli CHC,chc,Public,EC,,Mqanduli Main Street,-31.8235,28.765,,,,,who_mfl
Ngangelizwe CHC,chc,Public,EC,,Boundary Road,-31.6014,28.7999,,,,,who_mfl
Ngcobo CHC,chc,Public,EC,,,-31.6785,28.0055,,,,,who_mfl
Ngcwanguba CHC,chc,Public,EC,,Ngcanguba Location,-31.919,29.0324,,,,,who_mfl
Ngonyama CHC,chc,Public,EC,,Ngqonyama Village,-31.6815,26.9337,,,,,who_mfl
Nomzamo CHC,chc,Public,EC,Cape Town,"C/O Solomon & Nombula Street, Nomzamo, Strand",-31.913,26.9707,,,,,who_mfl
Nontyatyambo CHC,chc,Public,EC,East London,"9758 Dunga Road, Mdantsane",-32.9472,27.7546,,,,,who_mfl
Noupoort Fritz Visser CHC,chc,Public,EC,"Noupoort, Northern Cape.",Pienaar Street,-31.1752,24.9555,,,,+27 49 843 1448,who_mfl
Nqamakwe CHC,chc,Public,EC,Nqamakwe,"Main Road, Nqamakwe Village",-32.2082,27.9361,,,,+27 47 487 0166,who_mfl
Port St Johns CHC,chc,Public,EC,,"Golf Course Road, Port St Johns",-31.6323,29.5457,,,,,who_mfl
Rosedale CHC,chc,Public,EC,Port Elizabeth,1 Acardia Street,-33.7368,25.3762,,,,+27 41 506 1114,who_mfl
Settlers Day Hospital,chc,Public,EC,Makhanda,1 Cobden,-33.3077,26.5335,,,,+27 46 622 3033,who_mfl
Thornhill CHC,chc,Public,EC,,"Thornhill Village, Ntabethemba",-31.9872,26.6137,,,,,who_mfl
Tombo CHC,chc,Public,EC,,,-31.6274,29.3829,,,,,who_mfl
Whittlesea CHC,chc,Public,EC,,648 Stand,-32.1729,26.8208,,,,,who_mfl
Willowvale CHC,chc,Public,EC,,363 Kob Inn Road,-32.2654,28.4982,,,,,who_mfl
Xhora CHC,chc,Public,EC,,Elliotdale Main Street,-31.9678,28.6839,,,,,who_mfl
Zwelakhe Dalasile CHC,chc,Public,EC,,,-31.6481,28.2439,,,,,who_mfl
ec Joubertina CHC,chc,,EC,,Cnr Ferreira and Williams Steward Streets,-33.8263,23.86474,,,,,dsfsi_chc
ec Makhotyana CHC,chc,,EC,,,-31.435,29.02291,,,,,dsfsi_chc
ec Maluti CHC,chc,,EC,,Maluti Township,-30.2658,28.78891,,,,,dsfsi_chc
